title,genre,director,actors,description,image,rating,bag_of_words
The Killing,crime drama film-noir,stanley kubrick,"[,sterlinghayden,coleengray,vinceedwards,]",Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.,"https://m.media-amazon.com/images/M/MV5BMDE5ZjAwY2YtOWM5Yi00ZWNlLWE5ODQtYjA4NzA1NGFkZDU5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,crime drama film-noirstanley kubrick sterlinghayden coleengray vinceedwards Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.
Trois couleurs: Bleu,drama music mystery,krzysztof kieslowski,"[,juliettebinoche,zbigniewzamachowski,juliedelpy,]",A woman struggles to find a way to live her life after the death of her husband and child.,"https://m.media-amazon.com/images/M/MV5BZWU5NWQ2MWMtYmI4Ni00Yjk5LTk3ODktMDVlZGViNGUwN2M5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,drama music mysterykrzysztof kieslowski juliettebinoche zbigniewzamachowski juliedelpy A woman struggles to find a way to live her life after the death of her husband and child.
The Manchurian Candidate,drama thriller,john frankenheimer,"[,franksinatra,laurenceharvey,janetleigh,]",An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.,"https://m.media-amazon.com/images/M/MV5BOTY0ZTA1ZjUtN2MyNi00ZGRmLWExYmMtOTkyNzI1NGQ2Y2RlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,drama thrillerjohn frankenheimer franksinatra laurenceharvey janetleigh An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.
Arsenic and Old Lace,comedy crime thriller,frank capra,"[,carygrant,priscillalane,raymondmassey,]",A Brooklyn writer of books on the futility of marriage risks his reputation when he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,"https://m.media-amazon.com/images/M/MV5BZDVlNTBjMjctNjAzNS00ZGJhLTg2NzMtNzIwYTIzYTBiMDkyXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,comedy crime thrillerfrank capra carygrant priscillalane raymondmassey A Brooklyn writer of books on the futility of marriage risks his reputation when he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
Harold and Maude,comedy drama romance,hal ashby,"[,ruthgordon,budcort,vivianpickles,]","Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.","https://m.media-amazon.com/images/M/MV5BY2M5Mzg3NjctZTlkNy00MTU0LWFlYTQtY2E2Y2M4NjNiNzllXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,comedy drama romancehal ashby ruthgordon budcort vivianpickles Young  rich  and obsessed with death  Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.
Short Term 12,drama,destin daniel cretton,"[,brielarson,frantzturner,johngallagherjr.,]",A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,"https://m.media-amazon.com/images/M/MV5BNzQ1MjQzMzM3OF5BMl5BanBnXkFtZTcwMzg3NzQ3OQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,dramadestin daniel cretton brielarson frantzturner johngallagherjr. A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
A Christmas Story,comedy family,bob clark,"[,peterbillingsley,melindadillon,darrenmcgavin,]","In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.","https://m.media-amazon.com/images/M/MV5BOWMyNjE0MzEtMzVjNy00NjIxLTg0ZjMtMWJhNGI1YmVjYTczL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,comedy familybob clark peterbillingsley melindadillon darrenmcgavin In the 1940s  a young boy named Ralphie Parker attempts to convince his parents  teacher  and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.
Amour,drama,michael haneke,"[,jean-louistrintignant,emmanuelleriva,isabellehuppert,]","Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.","https://m.media-amazon.com/images/M/MV5BMTk1NTc3NDc4MF5BMl5BanBnXkFtZTcwNjYwNDk0OA@@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,dramamichael haneke jean-louistrintignant emmanuelleriva isabellehuppert Georges and Anne are an octogenarian couple. They are cultivated  retired music teachers. Their daughter  also a musician  lives in Britain with her family. One day  Anne has a stroke  and the couple's bond of love is severely tested.
Strangers on a Train,crime drama film-noir,alfred hitchcock,"[,farleygranger,robertwalker,ruthroman,]",A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,"https://m.media-amazon.com/images/M/MV5BNWJjOGM4NmEtNDE2YS00OGEyLTkwZWItMGM4YzdhZDZhMzNhXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,crime drama film-noiralfred hitchcock farleygranger robertwalker ruthroman A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.
The Big Sleep,crime film-noir mystery,howard hawks,"[,humphreybogart,laurenbacall,johnridgely,]","Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love.","https://m.media-amazon.com/images/M/MV5BMjdiM2IyZmQtODJiYy00NDNkLTllYmItMmFjMDNiYTQyOGVkXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,crime film-noir mysteryhoward hawks humphreybogart laurenbacall johnridgely Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over  he's seen murder  blackmail and what might be love.
Taeksi woonjunsa,action drama history,hun jang,"[,songkang-ho,thomaskretschmann,hae-jinyoo,]","A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him.","https://m.media-amazon.com/images/M/MV5BMTA5ZGE4ZTQtYjVjOS00MTllLTkwZWEtYzQ5NzljMWJkYWE4XkEyXkFqcGdeQXVyMTk0NTY2ODQ@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,action drama historyhun jang songkang-ho thomaskretschmann hae-jinyoo A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising  soon finds himself regretting his decision after being caught in the violence around him.
The Adventures of Robin Hood,action adventure romance,michael curtiz,"[,williamkeighley,errolflynn,oliviadehavilland,basilrathbone,]","When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.","https://m.media-amazon.com/images/M/MV5BYjZjOTU3MTMtYTM5YS00YjZmLThmNmMtODcwOTM1NmRiMWM2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,action adventure romancemichael curtiz williamkeighley errolflynn oliviadehavilland basilrathbone When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England  a Saxon lord fights back as the outlaw leader of a resistance movement.
Hable con ella,drama mystery romance,pedro almodóvar,"[,rosarioflores,javiercámara,daríograndinetti,]",Two men share an odd friendship while they care for two women who are both in deep comas.,"https://m.media-amazon.com/images/M/MV5BMzFhNmQzYWQtMDhmNC00ZGJmLWI5NjYtNmI3MjBiZDNjNjdlXkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_UY98_CR1,0,67,98_AL_.jpg",7.9,drama mystery romancepedro almodóvar rosarioflores javiercámara daríograndinetti Two men share an odd friendship while they care for two women who are both in deep comas.
Harvey,comedy drama fantasy,henry koster,"[,jamesstewart,wallaceford,williamh.lynn,]","Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.","https://m.media-amazon.com/images/M/MV5BMzg2YTFkNjgtM2ZkNS00MWVkLWIwMTEtZTgzMDM2MmUxNDE2XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,comedy drama fantasyhenry koster jamesstewart wallaceford williamh.lynn Due to his insistence that he has an invisible six foot-tall rabbit for a best friend  a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.
Gegen die Wand,drama romance,fatih akin,"[,birolünel,sibelkekilli,güvenkiraç,]","With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.","https://m.media-amazon.com/images/M/MV5BODBiNzYxNzYtMjkyMi00MjUyLWJkM2YtZjNkMDhhYmEwMTRiL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",7.9,drama romancefatih akin birolünel sibelkekilli güvenkiraç With the intention to break free from the strict familial restrictions  a suicidal young woman sets up a marriage of convenience with a forty-year-old addict  an act that will lead to an outburst of envious love.
Il conformista,drama,bernardo bertolucci,"[,jean-louistrintignant,stefaniasandrelli,gastonemoschin,]","A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.","https://m.media-amazon.com/images/M/MV5BM2JmMDZkYmEtYmVmNy00NTVmLTlkY2YtY2VkZGVjNjU1ZGI1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,dramabernardo bertolucci jean-louistrintignant stefaniasandrelli gastonemoschin A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher  now a political dissident.
"4 luni, 3 saptamâni si 2 zile",drama,cristian mungiu,"[,anamariamarinca,lauravasiliu,vladivanov,]",A woman assists her friend in arranging an illegal abortion in 1980s Romania.,"https://m.media-amazon.com/images/M/MV5BMTk3NDY2MDg0MF5BMl5BanBnXkFtZTYwODcwODc4._V1_UX67_CR0,0,67,98_AL_.jpg",7.9,dramacristian mungiu anamariamarinca lauravasiliu vladivanov A woman assists her friend in arranging an illegal abortion in 1980s Romania.
